cert_id,cert_name,short_name,cert_code,issuing_authority,exam_authority,profession_category,valid_nationwide
cls1_constructor,一级建造师,一建,,住房和城乡建设部,人社部+住建部,准入类,TRUE
cls2_constructor,二级建造师,二建,,住房和城乡建设部,人社部+住建部,准入类,TRUE
cls1_firePorEngineer,一级消防工程师,一消,,省级人社部,人力资源社会保障部与应急管理部,准入类,TRUE
cls2_firePorEngineer,二级消防工程师,二消,,省、自治区、直辖市的人力资源社会保障行政主管部门,省、自治区、直辖市的人力资源社会保障行政主管部门+消防救援机构,准入类,TRUE
cls1_costEngineer,一级造价师,一造,,住房和城乡建设部、交通运输部、水利部,住房和城乡建设部、交通运输部、水利部、人力资源和社会保障部,准入类,TRUE
cls2_costEngineer,二级造价师,二造,,住房和城乡建设部、交通运输部、水利部、人力资源和社会保障部,住房和城乡建设部、交通运输部、水利部、人力资源和社会保障部,准入类,TRUE
yj_jzs5,消防操作员,一建,,住房和城乡建设部,人社部+住建部,准入类,TRUE
yj_jzs4,安全工程师,一建,,住房和城乡建设部,人社部+住建部,准入类,TRUE
yj_jzs3,中级经济师,一建,,住房和城乡建设部,人社部+住建部,准入类,TRUE
yj_jzs2,注册会计师,CPA,,住房和城乡建设部,人社部+住建部,准入类,TRUE
yj_jzs1,执业兽医师,一建,,住房和城乡建设部,人社部+住建部,准入类,TRUE
physician_title,卫生专业技术资格考试,职称医师,,人社部和卫健委,人社部+国家卫生健康委员会,水平类,TRUE
pharmacist_licensed,执业药师,执业药师,,人社部,国家药品监督管理局+人社部,准入类,TRUE
physician_licensed,执业医师,执业医师,,国家卫健委,国家卫健委,准入类,TRUE
pharmacist,药剂师,药剂师,,国家卫健委,国家卫健委,准入类,TRUE
rehabilitation,康复治疗师,康复治疗师,,人社部,人社部+国家卫生健康委员会,准入类,TRUE
nle,法律执业资格考试,法考,,司法部,司法部,准入类,TRUE
